,userID,itemID,rating,SIDO,SI
0,e000335,타임 테라스 A 블록,4.666666666666667,경기,화성시
1,e000335,스타필드 코엑스몰,5.0,서울,강남구
2,e000335,잠실종합운동장,5.0,서울,송파구
3,e000401,시흥 프리미엄 아울렛,2.6666666666666665,경기,시흥시
4,e000437,선녀바위,3.3333333333333335,인천,인천
5,e000437,을왕리 해수욕장,3.0,인천,인천
6,e000443,장봉도,5.0,,
7,e000506,전등사,4.0,인천,인천
8,e000506,초지진,4.333333333333333,인천,인천
9,e000506,대명항 수산물 직판장,3.6666666666666665,경기,김포시
10,e000506,김포함상공원,4.0,경기,김포시
11,e000574,전등사,5.0,인천,인천
12,e000574,강화 부근리 고인돌,2.6666666666666665,인천,인천
13,e000574,대한 성공회 강화성당,4.333333333333333,인천,인천
14,e000580,경복궁,3.0,서울,종로구
15,e000588,강화풍물시장,2.3333333333333335,인천,인천
16,e000632,덕수궁,4.333333333333333,서울,중구
17,e000823,용기포항 서 방파제 등 대,4.333333333333333,인천,인천
18,e000823,심청각,3.0,인천,인천
19,e000823,두무진,5.0,인천,인천
20,e000823,중화동 교회,3.3333333333333335,인천,인천
21,e000823,콩돌해안,4.0,인천,인천
22,e000823,사자바위,3.3333333333333335,,
23,e000823,천안함 46용사 위령탑,4.0,인천,인천
24,e000847,갑곶 돈대,5.0,인천,인천
25,e000847,대한 성공회 강화성당,5.0,인천,인천
26,e000847,강화성당,5.0,인천,인천
27,e000847,고려궁지,5.0,인천,인천
28,e000847,강화 광성보,5.0,인천,인천
29,e000847,조양 방직,5.0,인천,인천
30,e000866,수원 화성,4.0,경기,수원시
31,e000903,목섬(항도),5.0,인천,인천
32,e000903,십리포해수욕장,5.0,인천,인천
33,e000903,낙조 전망대,5.0,경기,안산시
34,e000905,롯데백화점 동탄점,5.0,경기,화성시
35,e000905,롯데 프리미엄 아울렛 타임 빌라스,4.666666666666667,경기,의왕시
36,e000905,타임 테라스 A 블록,5.0,경기,화성시
37,e000905,롯데백화점 동탄점,5.0,경기,화성시
38,e001007,월미도,4.333333333333333,인천,인천
39,e001007,선녀바위,5.0,인천,인천
40,e001078,인천광역시 교육청 교육과 학정 보원 인천학생과학관,5.0,인천,인천
